,child_case,head_case,relation,child_pos,head_pos,file_name
5515,IV,FV,prayojanam,inf.,pr. [5] ac. sg. 3,Gold_74.csv
5516,FV,ROOT,root,pr. [5] ac. sg. 3,NA,Gold_74.csv
5517,Ind,FV,sambanxah,part.,pr. [5] ac. sg. 3,Gold_74.csv
5518,nom,FV,karwa,nom. sg. f.,ca. impft. ac. sg. 3,Gold_615.csv
5519,IV,FV,apaxanam,tasil,ca. impft. ac. sg. 3,Gold_615.csv
5520,acc,FV,karma,acc. sg. *,ca. impft. ac. sg. 3,Gold_615.csv
5521,FV,ROOT,root,ca. impft. ac. sg. 3,NA,Gold_615.csv
5522,nom,FV,karwa,nom. sg. m.,ca. impft. ac. sg. 3,Gold_1034.csv
5523,adv,FV,kriyaviseranam,adv.,ca. impft. ac. sg. 3,Gold_1034.csv
5524,FV,ROOT,root,ca. impft. ac. sg. 3,NA,Gold_1034.csv
5525,nom,FV,karwa,nom. sg. m.,pp. . sg. ,Gold_1405.csv
5526,Ind,nom,sambanxah,conj.,nom. sg. m.,Gold_1405.csv
5527,acc,FV,karma,acc. sg. m.,pp. . sg. ,Gold_1405.csv
5528,FV,ROOT,root,pp. . sg. ,NA,Gold_1405.csv
5529,nom,FV,karwa,nom. pl. m.,fut. ac. pl. 3,Gold_1298.csv
5530,loc,FV,axikaranam,loc. sg. m.,fut. ac. pl. 3,Gold_1298.csv
5531,acc,FV,karma,acc. pl. m.,fut. ac. pl. 3,Gold_1298.csv
5532,FV,ROOT,root,fut. ac. pl. 3,NA,Gold_1298.csv
5533,nom,FV,karwa,nom. sg. f.,pft. ac. pl. 3,Gold_245.csv
5534,Ind,nom,sambanxah,conj.,nom. sg. f.,Gold_245.csv
5535,g,g,viseranam,g. sg. f.,g. sg. f.,Gold_245.csv
5536,g,FV,rartisambanxah,g. sg. f.,pp. . sg. ,Gold_245.csv
5537,FV,nom,karma,pp. . sg. ,nom. sg. f.,Gold_245.csv
5538,nom,FV,bavalakranasapwami_samanakalah,nom. sg. f.,pft. ac. pl. 3,Gold_245.csv
5539,inst,FV,karanam,inst. sg. f.,pft. ac. pl. 3,Gold_245.csv
5540,g,Ind,upapaxasambanxah,g. pl. f.,conj.,Gold_245.csv
5541,Ind,FV,sambanxah,conj.,pft. ac. pl. 3,Gold_245.csv
5542,nom,FV,viseranam,nom. sg. n.,pft. ac. pl. 3,Gold_245.csv
5543,acc,FV,karma,acc. sg. m.,pft. ac. pl. 3,Gold_245.csv
5544,FV,ROOT,root,pft. ac. pl. 3,NA,Gold_245.csv
5545,acc,FV,karma,acc. sg. f.,impft. [1] ac. du. 1,Gold_810.csv
5546,loc,FV,axikaranam,loc. sg. n.,impft. [1] ac. du. 1,Gold_810.csv
5547,FV,ROOT,root,impft. [1] ac. du. 1,NA,Gold_810.csv
5548,g,inst,rartisambanxah,g. sg. *,i. sg. n.,Gold_946.csv
5549,Ind,g,sambanxah,prep.,g. sg. *,Gold_946.csv
5550,inst,FV,karanam,i. sg. n.,impft. [4] md. pl. 3,Gold_946.csv
5551,nom,FV,karwa,nom. du. n.,impft. [4] md. pl. 3,Gold_946.csv
5552,loc,FV,axikaranam,loc. sg. f.,impft. [4] md. pl. 3,Gold_946.csv
5553,FV,ROOT,root,impft. [4] md. pl. 3,NA,Gold_946.csv
5554,nom,FV,karwa,nom. sg. m.,pp. . sg. ,Gold_294.csv
5555,acc,FV,karma,acc. sg. n.,pp. . sg. ,Gold_294.csv
5556,FV,ROOT,root,pp. . sg. ,NA,Gold_294.csv
5557,loc,loc,viseranam,loc. sg. m.,loc. sg. m.,Gold_327.csv
5558,loc,loc,viseranam,loc. sg. m.,loc. sg. m.,Gold_327.csv
5559,loc,loc,viseranam,loc. sg. m.,loc. sg. m.,Gold_327.csv
5560,loc,nom,axikaranam,loc. sg. m.,nom. sg. m.,Gold_327.csv
5561,acc,nom,karma,acc. sg. *,nom. sg. m.,Gold_327.csv
5562,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_327.csv
5563,nom,IV,sambanxah,nom. sg. n.,pp.,Gold_327.csv
5564,nom,acc,viseranam,nom. sg. n.,acc. sg. m.,Gold_327.csv
5565,nom,nom,viseranam,nom. sg. n.,nom. sg. m.,Gold_327.csv
5566,acc,IV,karma,acc. sg. m.,pp.,Gold_327.csv
5567,IV,ROOT,root,pp.,NA,Gold_327.csv
5568,nom,IV,karwa,nom. sg. m.,pp.,Gold_327.csv
5569,nom,FV,karwa,nom. sg. m.,impft . ac. sg. 3,Gold_580.csv
5570,acc,acc,viseranam,acc. sg. f.,acc. sg. f.,Gold_580.csv
5571,acc,acc,viseranam,acc. sg. f.,acc. sg. f.,Gold_580.csv
5572,acc,acc,viseranam,acc. sg. f.,acc. sg. f.,Gold_580.csv
5573,acc,Ind,upapaxasambanxah,acc. sg. f.,conj.,Gold_580.csv
5574,Ind,FV,sambanxah,conj.,impft . ac. sg. 3,Gold_580.csv
5575,FV,Ind,prawiyogi,pp. . sg. ,conj.,Gold_580.csv
5576,Ind,acc,anuyogi,conj.,acc. sg. f.,Gold_580.csv
5577,FV,ROOT,root,impft . ac. sg. 3,NA,Gold_580.csv
5578,IV,IV,hewuh,tasil,pp.,Gold_497.csv
5579,nom,IV,karwa,nom. du. m.,pp.,Gold_497.csv
5580,Ind,nom,sambanxah,conj.,nom. du. m.,Gold_497.csv
5581,inst,IV,hewuh,i. sg. m.,pp.,Gold_497.csv
5582,IV,ROOT,root,pp.,NA,Gold_497.csv
5583,Ind,FV,sambanxah,conj.,pft. ac. sg. 3,Gold_538.csv
5584,g,nom,rartisambanxah,g. pl. f.,nom. sg. m.,Gold_538.csv
5585,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_538.csv
5586,Ind,Ind,hewuh,conj.,conj.,Gold_538.csv
5587,Ind,FV,sambanxah,conj.,pft. ac. sg. 3,Gold_538.csv
5588,Ind,Ind,sambanxah,conj.,conj.,Gold_538.csv
5589,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_538.csv
5590,nom,FV,karwa,nom. sg. m.,pft. ac. sg. 3,Gold_538.csv
5591,Ind,FV,sambanxah,conj.,pft. ac. sg. 3,Gold_538.csv
5592,FV,ROOT,root,pft. ac. sg. 3,NA,Gold_538.csv
5593,adv,IV,sambanxah,adv.,pp.,Gold_1192.csv
5594,adv,IV,kriyaviseranam,adv.,pp.,Gold_1192.csv
5595,nom,IV,karwa,nom. du. m.,pp.,Gold_1192.csv
5596,loc,IV,axikaranam,loc. sg. n.,pp.,Gold_1192.csv
5597,Ind,loc,sambanxah,conj.,loc. sg. n.,Gold_1192.csv
5598,IV,ROOT,root,pp.,NA,Gold_1192.csv
5599,nom,nom,viseranam,nom. sg. n.,nom. sg. n.,Gold_376.csv
5600,nom,FV,karwa,nom. sg. n.,pr. md. sg. 3,Gold_376.csv
5601,acc,FV,karma,acc. pl. m.,pr. md. sg. 3,Gold_376.csv
5602,IV,FV,prayojanam,inf.,pr. md. sg. 3,Gold_376.csv
5603,FV,ROOT,root,pr. md. sg. 3,NA,Gold_376.csv
5604,g,loc,rartisambanxah,g. sg. *,loc. sg. f.,Gold_1096.csv
5605,loc,IV,axikaranam,loc. sg. f.,abs.,Gold_1096.csv
5606,g,g,viseranam,g. du. m.,g. du. m.,Gold_1096.csv
5607,g,acc,rartisambanxah,g. du. m.,acc. sg. m.,Gold_1096.csv
5608,acc,IV,karma,acc. sg. m.,abs.,Gold_1096.csv
5609,IV,FV,purvakalah,abs.,aor. [5] ac. sg. 3,Gold_1096.csv
5610,adv,FV,kriyaviseranam,adv.,aor. [5] ac. sg. 3,Gold_1096.csv
5611,abl,FV,apaxanam,abl. sg. m.,aor. [5] ac. sg. 3,Gold_1096.csv
5612,nom,FV,karwa,nom. sg. n.,aor. [5] ac. sg. 3,Gold_1096.csv
5613,FV,ROOT,root,aor. [5] ac. sg. 3,NA,Gold_1096.csv
5614,g,nom,rartisambanxah,g. sg. m.,nom. sg. m.,Gold_676.csv
5615,nom,FV,karma,nom. sg. m.,pr. md. sg. 3,Gold_676.csv
5616,FV,ROOT,root,pr. md. sg. 3,NA,Gold_676.csv
5617,nom,FV,karwa,nom. sg. m.,pr. ac. sg. 3,Gold_79.csv
5618,Ind,nom,sambanxah,conj.,nom. sg. m.,Gold_79.csv
5619,acc,FV,karma,acc. sg. f.,pr. ac. sg. 3,Gold_79.csv
5620,acc,acc,viseranam,acc. sg. f.,acc. sg. f.,Gold_79.csv
5621,Ind,FV,sambanxah,conj.,pr. ac. sg. 3,Gold_79.csv
5622,FV,ROOT,root,pr. ac. sg. 3,NA,Gold_79.csv
5623,FV,ROOT,root,impft. [2] ac. sg. 3,NA,Gold_1127.csv
5624,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1127.csv
5625,nom,FV,karwa,nom. sg. m.,impft. [2] ac. sg. 3,Gold_1127.csv
5626,nom,IV,karwa,nom. pl. f.,pp.,Gold_69.csv
5627,Ind,nom,sambanxah,prep.,nom. pl. f.,Gold_69.csv
5628,acc,acc,kriyaviseranam,acc. sg. n.,acc. sg. n.,Gold_69.csv
5629,Ind,acc,sambanxah,prep.,acc. sg. n.,Gold_69.csv
5630,acc,acc,karma,acc. sg. m.,acc. sg. n.,Gold_69.csv
5631,acc,acc,karmasamanaxikaranam,acc. sg. n.,acc. sg. n.,Gold_69.csv
5632,acc,nom,karma,acc. sg. n.,nom. sg. f.,Gold_69.csv
5633,nom,IV,karwqsamanaxikaranam,nom. sg. f.,pp.,Gold_69.csv
5634,g,g,viseranam,g. sg. n.,g. sg. n.,Gold_69.csv
5635,g,acc,rartisambanxah,g. sg. n.,acc. pl. m.,Gold_69.csv
5636,acc,IV,karma,acc. pl. m.,pp.,Gold_69.csv
5637,IV,ROOT,root,pp.,NA,Gold_69.csv
5638,nom,FV,karwa,nom. sg. m.,pr. [6] ac. sg. 3,Gold_251.csv
5639,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_251.csv
5640,acc,IV,karma,acc. sg. m.,ca. inf.,Gold_251.csv
5641,loc,IV,axikaranam,loc. sg. m.,ca. inf.,Gold_251.csv
5642,IV,FV,prayojanam,ca. inf.,pr. [6] ac. sg. 3,Gold_251.csv
5643,FV,ROOT,root,pr. [6] ac. sg. 3,NA,Gold_251.csv
5644,Ind,FV,sambanxah,part.,pr. [6] ac. sg. 3,Gold_251.csv
5645,nom,FV,karwa,nom. sg. m.,imp. [1] ac. sg. 3,Gold_202.csv
5646,nom,Ind,sambanxah,nom. sg. m.,conj.,Gold_202.csv
5647,Ind,FV,karwqsamanaxikaranam,conj.,imp. [1] ac. sg. 3,Gold_202.csv
5648,FV,Ind,samucciwam,imp. [1] ac. sg. 3,conj.,Gold_202.csv
5649,g,g,viseranam,g. sg. n.,g. sg. n.,Gold_202.csv
5650,g,nom,rartisambanxah,g. sg. n.,nom. sg. n.,Gold_202.csv
5651,adv,nom,kriyaviseranam,adv.,nom. sg. n.,Gold_202.csv
5652,nom,Ind,sambanxah,nom. sg. n.,conj.,Gold_202.csv
5653,Ind,Ind,sambanxah,conj.,conj.,Gold_202.csv
5654,FV,Ind,samucciwam,imp. [1] ac. sg. 3,conj.,Gold_202.csv
5655,g,loc,upapaxasambanxah,g. sg. *,loc. sg. m.,Gold_202.csv
5656,loc,FV,axikaranam,loc. sg. m.,imp. [1] ac. sg. 2,Gold_202.csv
5657,FV,Ind,samucciwam,imp. [1] ac. sg. 2,conj.,Gold_202.csv
5658,g,g,rartisambanxah,g. sg. *,g. sg. *,Gold_202.csv
5659,loc,FV,axikaranam,loc. sg. n.,imp. [3] ac. sg. 2,Gold_202.csv
5660,g,acc,rartisambanxah,g. sg. *,acc. sg. m.,Gold_202.csv
5661,acc,FV,karma,acc. sg. m.,imp. [3] ac. sg. 2,Gold_202.csv
5662,FV,Ind,samucciwam,imp. [3] ac. sg. 2,conj.,Gold_202.csv
5663,Ind,ROOT,root,conj.,NA,Gold_202.csv
5664,voc,FV,samboxyah,voc. sg. m.,ca. pr. ac. sg. 3,Gold_1140.csv
5665,acc,FV,karma,acc. sg. m.,ca. pr. ac. sg. 3,Gold_1140.csv
5666,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_1140.csv
5667,nom,FV,karwa,nom. sg. m.,ca. pr. ac. sg. 3,Gold_1140.csv
5668,loc,FV,axikaranam,loc. sg. n.,ca. pr. ac. sg. 3,Gold_1140.csv
5669,FV,ROOT,root,ca. pr. ac. sg. 3,NA,Gold_1140.csv
5670,g,g,viseranam,g. sg. *,g. sg. m.,Gold_209.csv
5671,g,nom,rartisambanxah,g. sg. m.,nom. sg. m.,Gold_209.csv
5672,nom,Ind,samucciwam,nom. sg. m.,conj.,Gold_209.csv
5673,nom,FV,karwa,nom. sg. m.,pr. [5] ac. sg. 3,Gold_209.csv
5674,acc,FV,karma,acc. sg. *,pr. [5] ac. sg. 3,Gold_209.csv
5675,FV,Ind,samucciwam,pr. [5] ac. sg. 3,conj.,Gold_209.csv
5676,Ind,ROOT,root,conj.,NA,Gold_209.csv
5677,g,inst,rartisambanxah,g. pl. f.,i. sg. f.,Gold_1458.csv
5678,inst,FV,hewuh,i. sg. f.,pr. [1] ac. pl. 3,Gold_1458.csv
5679,nom,FV,karwa,nom. pl. m.,pr. [1] ac. pl. 3,Gold_1458.csv
5680,FV,ROOT,root,pr. [1] ac. pl. 3,NA,Gold_1458.csv
5681,g,nom,rartisambanxah,g. pl. m.,nom. pl. m.,Gold_1458.csv
5682,nom,IV,karwa,nom. sg. n.,pp.,Gold_647.csv
5683,acc,acc,viseranam,acc. sg. n.,acc. sg. n.,Gold_647.csv
5684,acc,IV,karma,acc. sg. n.,pp.,Gold_647.csv
5685,acc,IV,kriyaviseranam,acc. sg. n.,pp.,Gold_647.csv
5686,Ind,acc,sambanxah,prep.,acc. sg. n.,Gold_647.csv
5687,abl,g,viseranam,abl. sg. f.,g. sg. f.,Gold_647.csv
5688,g,loc,rartisambanxah,g. sg. f.,loc. sg. m.,Gold_647.csv
5689,loc,IV,axikaranam,loc. sg. m.,pp.,Gold_647.csv
5690,IV,ROOT,root,pp.,NA,Gold_647.csv
5691,inst,FV,karanam,inst. sg. m.,pr. [1] ac. sg. 3,Gold_147.csv
5692,FV,ROOT,root,pr. [1] ac. sg. 3,NA,Gold_147.csv
5693,acc,FV,karma,acc. sg. m.,pr. [1] ac. sg. 3,Gold_147.csv
5694,nom,FV,karwa,nom. sg. f.,pr. [1] ac. sg. 3,Gold_147.csv
5695,abl,Ind,prawiyogi,abl. sg. m.,conj.,Gold_105.csv
5696,Ind,FV,anuyogi,conj.,pr. ac. sg. 3,Gold_105.csv
5697,nom,FV,karwa,nom. sg. m.,pr. ac. sg. 3,Gold_105.csv
5698,Ind,FV,sambanxah,conj.,pr. ac. sg. 3,Gold_105.csv
5699,FV,ROOT,root,pr. ac. sg. 3,NA,Gold_105.csv
5700,loc,IV,axikaranam,loc. sg. n.,pp.,Gold_1135.csv
5701,loc,IV,axikaranam,loc. sg. m.,inf.,Gold_1135.csv
5702,acc,IV,karma,acc. sg. n.,inf.,Gold_1135.csv
5703,IV,IV,prayojanam,inf.,pp.,Gold_1135.csv
5704,nom,IV,karwa,nom. sg. m.,pp.,Gold_1135.csv
5705,IV,ROOT,root,pp.,NA,Gold_1135.csv
5706,loc,FV,axikaranam,loc. sg. m.,impft. [1] ac. sg. 3,Gold_964.csv
5707,loc,FV,axikaranam,loc. sg. m.,impft. [1] ac. sg. 3,Gold_964.csv
5708,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_964.csv
5709,loc,FV,axikaranam,loc. sg. f.,impft. [6] ac. sg. 3,Gold_964.csv
5710,FV,FV,sambanxah,impft. [6] ac. sg. 3,impft. [1] ac. sg. 3,Gold_964.csv
5711,loc,FV,axikaranam,loc. sg. m.,pft. md. sg. 3,Gold_964.csv
5712,nom,FV,sambanxah,nom. sg. m.,impft. [1] ac. sg. 3,Gold_964.csv
5713,acc,FV,karwa,acc. sg. m.,impft. [1] ac. sg. 3,Gold_964.csv
5714,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_964.csv
5715,acc,FV,sambanxah,acc. sg. m.,pft. md. sg. 3,Gold_964.csv
5716,IV,FV,karanam,abs.,pft. md. sg. 3,Gold_964.csv
5717,FV,FV,purvakalah,pft. md. sg. 3,impft. [1] ac. sg. 3,Gold_964.csv
5718,loc,FV,axikaranam,loc. sg. m.,impft. [1] ac. sg. 3,Gold_964.csv
5719,FV,ROOT,root,impft. [1] ac. sg. 3,NA,Gold_964.csv
5720,Ind,FV,sambanxah,ind.,pr. [2] ac. sg. 3,Gold_336.csv
5721,Ind,FV,sambanxah,part.,pr. [2] ac. sg. 3,Gold_336.csv
5722,nom,FV,karwa,nom. pl. m.,pr. [2] ac. sg. 3,Gold_336.csv
5723,FV,ROOT,root,pr. [2] ac. sg. 3,NA,Gold_336.csv
5724,acc,loc,karma,acc. sg. n.,loc. sg. m.,Gold_519.csv
5725,loc,FV,bavalakranasapwami_samanakalah,loc. sg. m.,impft. ac. sg. ,Gold_519.csv
5726,Ind,loc,sambanxah,conj.,loc. sg. m.,Gold_519.csv
5727,Ind,loc,viseranam,conj.,loc. sg. m.,Gold_519.csv
5728,inst,loc,karanam,inst. pl. n.,loc. sg. m.,Gold_519.csv
5729,loc,FV,bavalakranasapwami_samanakalah,loc. sg. m.,impft. ac. sg. ,Gold_519.csv
5730,loc,loc,sambanxah,loc. sg. m.,loc. sg. m.,Gold_519.csv
5731,nom,nom,karwa,nom. sg. m.,nom. sg. n.,Gold_519.csv
5732,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_519.csv
5733,IV,nom,purvakalah,inf.,nom. sg. n.,Gold_519.csv
5734,nom,Ind,samucciwam,nom. sg. n.,conj.,Gold_519.csv
5735,Ind,FV,sambanxah,conj.,impft. ac. sg. ,Gold_519.csv
5736,nom,g,viseranam,nom. sg. n.,g. sg. m.,Gold_519.csv
5737,g,abl,rartisambanxah,g. sg. m.,abl. sg. m.,Gold_519.csv
5738,abl,FV,apaxanam,abl. sg. m.,impft. ac. sg. ,Gold_519.csv
5739,g,inst,rartisambanxah,g. pl. m.,inst. pl. n.,Gold_519.csv
5740,inst,FV,karwa,inst. pl. n.,impft. ac. sg. ,Gold_519.csv
5741,Ind,FV,sambanxah,conj.,impft. ac. sg. ,Gold_519.csv
5742,Ind,FV,viseranam,conj.,impft. ac. sg. ,Gold_519.csv
5743,FV,Ind,samucciwam,impft. ac. sg. ,conj.,Gold_519.csv
5744,Ind,ROOT,root,conj.,NA,Gold_519.csv
5745,g,nom,rartisambanxah,g. sg. m.,nom. pl. f.,Gold_181.csv
5746,nom,FV,karwa,nom. pl. f.,pft. ac. pl. 3,Gold_181.csv
5747,inst,FV,karanam,inst. pl. m.,pft. md. pl. 3,Gold_181.csv
5748,inst,acc,hewuh,inst. sg. m.,acc. sg. f.,Gold_181.csv
5749,acc,FV,karma,acc. sg. f.,pft. md. pl. 3,Gold_181.csv
5750,g,abl,viseranam,g. sg. f.,abl. sg. f.,Gold_181.csv
5751,abl,Ind,rartisambanxah,abl. sg. f.,conj.,Gold_181.csv
5752,Ind,FV,apaxanam,conj.,pft. md. pl. 3,Gold_181.csv
5753,Ind,FV,sambanxah,conj.,pft. md. pl. 3,Gold_181.csv
5754,FV,Ind,samucciwam,pft. md. pl. 3,conj.,Gold_181.csv
5755,inst,FV,karanam,inst. sg. n.,pft. ac. pl. 3,Gold_181.csv
5756,Ind,FV,viseranam,conj.,pft. ac. pl. 3,Gold_181.csv
5757,g,acc,rartisambanxah,g. sg. f.,acc. sg. n.,Gold_181.csv
5758,acc,acc,viseranam,acc. sg. n.,acc. sg. n.,Gold_181.csv
5759,acc,FV,karma,acc. sg. n.,pft. ac. pl. 3,Gold_181.csv
5760,FV,Ind,samucciwam,pft. ac. pl. 3,conj.,Gold_181.csv
5761,Ind,ROOT,root,conj.,NA,Gold_181.csv
5762,nom,nom,viseranam,nom. sg. n.,nom. sg. n.,Gold_86.csv
5763,nom,nom,karwa,nom. sg. n.,nom. sg. n.,Gold_86.csv
5764,g,nom,rartisambanxah,g. pl. m.,nom. sg. n.,Gold_86.csv
5765,g,g,viseranam,g. sg. f.,g. sg. f.,Gold_86.csv
5766,g,acc,rartisambanxah,g. sg. f.,acc. sg. m.,Gold_86.csv
5767,acc,FV,waxarwyam,acc. sg. m.,aor. [5] ac. sg. 3,Gold_86.csv
5768,loc,FV,axikaranam,loc. sg. n.,aor. [5] ac. sg. 3,Gold_86.csv
5769,nom,FV,karwqsamanaxikaranam,nom. sg. n.,aor. [5] ac. sg. 3,Gold_86.csv
5770,FV,ROOT,root,aor. [5] ac. sg. 3,NA,Gold_86.csv
5771,loc,FV,axikaranam,loc. sg. m.,opt. [3] ac. pl. 2,Gold_1137.csv
5772,loc,FV,axikaranam,loc. sg. m.,opt. [3] ac. pl. 2,Gold_1137.csv
5773,acc,FV,karma,acc. sg. f.,opt. [3] ac. pl. 2,Gold_1137.csv
5774,dat,FV,sampraxanam,dat. sg. *,opt. [3] ac. pl. 2,Gold_1137.csv
5775,FV,ROOT,root,opt. [3] ac. pl. 2,NA,Gold_1137.csv
5776,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_708.csv
5777,nom,FV,karwa,nom. sg. m.,aor. [5] ac. sg. 3,Gold_708.csv
5778,FV,ROOT,root,aor. [5] ac. sg. 3,NA,Gold_708.csv
5779,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_646.csv
5780,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_646.csv
5781,g,acc,rartisambanxah,g. sg. f.,acc. sg. n.,Gold_646.csv
5782,acc,acc,viseranam,acc. sg. n.,acc. sg. m.,Gold_646.csv
5783,loc,loc,viseranam,loc. pl. f.,loc. pl. f.,Gold_646.csv
5784,loc,FV,axikaranam,loc. pl. f.,pft. ac. sg. 3,Gold_646.csv
5785,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_646.csv
5786,Ind,nom,kriyaviseranam,conj.,nom. sg. m.,Gold_646.csv
5787,acc,FV,karma,acc. sg. m.,pft. ac. sg. 3,Gold_646.csv
5788,nom,FV,karwa,nom. sg. m.,pft. ac. sg. 3,Gold_646.csv
5789,nom,Ind,prawiyogi,nom. sg. m.,conj.,Gold_646.csv
5790,Ind,nom,anuyogi,conj.,nom. sg. m.,Gold_646.csv
5791,FV,ROOT,root,pft. ac. sg. 3,NA,Gold_646.csv
5792,nom,FV,karma,nom. sg. m.,impft. md. sg. ,Gold_836.csv
5793,Ind,FV,kriyaviseranam,conj.,impft. md. sg. ,Gold_836.csv
5794,Ind,FV,sambanxah,conj.,impft. md. sg. ,Gold_836.csv
5795,FV,Ind,samucciwam,impft. md. sg. ,conj.,Gold_836.csv
5796,nom,FV,karwa,nom. pl. m.,imp. ac. pl. 3,Gold_836.csv
5797,abl,FV,hewuh,abl. sg. n.,imp. ac. pl. 3,Gold_836.csv
5798,nom,FV,karwqsamanaxikaranam,nom. pl. m.,imp. ac. pl. 3,Gold_836.csv
5799,FV,Ind,samucciwam,imp. ac. pl. 3,conj.,Gold_836.csv
5800,Ind,ROOT,root,conj.,NA,Gold_836.csv
5801,adv,IV,sambanxah,adv.,pp.,Gold_585.csv
5802,nom,IV,karwa,nom. sg. m.,pp.,Gold_585.csv
5803,g,loc,rartisambanxah,g. sg. m.,loc. sg. m.,Gold_585.csv
5804,loc,IV,axikaranam,loc. sg. m.,pp.,Gold_585.csv
5805,Ind,loc,sambanxah,prep.,loc. sg. m.,Gold_585.csv
5806,IV,ROOT,root,pp.,NA,Gold_585.csv
5807,inst,inst,viseranam,inst. pl. m.,inst. pl. m.,Gold_1145.csv
5808,Ind,inst,sambanxah,conj.,inst. pl. m.,Gold_1145.csv
5809,inst,g,karanam,inst. pl. m.,g. sg. n.,Gold_1145.csv
5810,inst,inst,viseranam,inst. pl. m.,inst. pl. m.,Gold_1145.csv
5811,Ind,inst,sambanxah,conj.,inst. pl. m.,Gold_1145.csv
5812,inst,Ind,prawiyogi,inst. pl. m.,conj.,Gold_1145.csv
5813,Ind,inst,anuyogi,conj.,inst. pl. m.,Gold_1145.csv
5814,g,g,viseranam,g. sg. n.,g. sg. n.,Gold_1145.csv
5815,g,g,rartisambanxah,g. sg. n.,g. sg. n.,Gold_1145.csv
5816,g,Ind,prawiyogi,g. sg. n.,conj.,Gold_1145.csv
5817,Ind,FV,anuyogi,conj.,pr. ac. sg. 3,Gold_1145.csv
5818,nom,FV,karwa,nom. sg. f.,pr. ac. sg. 3,Gold_1145.csv
5819,nom,FV,viseranam,nom. sg. f.,pr. ac. sg. 3,Gold_1145.csv
5820,FV,ROOT,root,pr. ac. sg. 3,NA,Gold_1145.csv
5821,Ind,FV,sambanxah,conj.,pr. ac. sg. 3,Gold_1145.csv
5822,inst,FV,hewuh,i. sg. n.,pr. [vn.] md. sg. 3,Gold_1455.csv
5823,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1455.csv
5824,nom,FV,karwa,nom. sg. m.,pr. [vn.] md. sg. 3,Gold_1455.csv
5825,loc,FV,axikaranam,loc. sg. n.,pr. [vn.] md. sg. 3,Gold_1455.csv
5826,FV,ROOT,root,pr. [vn.] md. sg. 3,NA,Gold_1455.csv
5827,Ind,FV,sambanxah,part.,pr. [vn.] md. sg. 3,Gold_1455.csv
5828,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_1364.csv
5829,acc,IV,karma,acc. sg. m.,abs.,Gold_1364.csv
5830,IV,IV,purvakalah,abs.,pp.,Gold_1364.csv
5831,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1364.csv
5832,nom,IV,karwa,nom. sg. m.,pp.,Gold_1364.csv
5833,acc,IV,karma,acc. sg. m.,pp.,Gold_1364.csv
5834,IV,ROOT,root,pp.,NA,Gold_1364.csv
5835,inst,FV,karwa,inst. sg. f.,pp. . sg. ,Gold_593.csv
5836,abl,FV,sambanxah,abl. sg. f.,pp. . sg. ,Gold_593.csv
5837,loc,FV,axikaranam,loc. sg. n.,pp. . sg. ,Gold_593.csv
5838,FV,FV,bavalakranasapwami_samanakalah,pp. . sg. ,impft. ac. sg. 3,Gold_593.csv
5839,nom,FV,sambanxah,nom. sg. n.,pp. . sg. ,Gold_593.csv
5840,Ind,FV,sambanxah,conj.,impft. ac. sg. 3,Gold_593.csv
5841,g,abl,rartisambanxah,g. sg. n.,abl. sg. n.,Gold_593.csv
5842,abl,inst,hewuh,abl. sg. n.,inst. pl. m.,Gold_593.csv
5843,inst,FV,karwa,inst. pl. m.,impft. ac. sg. 3,Gold_593.csv
5844,nom,nom,viseranam,nom. sg. n.,nom. sg. n.,Gold_593.csv
5845,nom,FV,karma,nom. sg. n.,impft. ac. sg. 3,Gold_593.csv
5846,FV,Ind,samucciwam,impft. ac. sg. 3,conj.,Gold_593.csv
5847,Ind,FV,sambanxah,conj.,pr. ac. sg. 3,Gold_593.csv
5848,g,Ind,rartisambanxah,g. pl. m.,conj.,Gold_593.csv
5849,Ind,nom,hewuh,conj.,nom. sg. f.,Gold_593.csv
5850,nom,FV,karwa,nom. sg. f.,pr. ac. sg. 3,Gold_593.csv
5851,FV,Ind,samucciwam,pr. ac. sg. 3,conj.,Gold_593.csv
5852,Ind,ROOT,root,conj.,NA,Gold_593.csv
5853,Ind,Ind,samucciwam,conj.,conj.,Gold_823.csv
5854,g,inst,rartisambanxah,g. pl. m.,inst. sg. f.,Gold_823.csv
5855,Ind,g,sambanxah,conj.,g. pl. m.,Gold_823.csv
5856,Ind,inst,sambanxah,conj.,inst. sg. f.,Gold_823.csv
